date,load,temperature
01/01/2019 1:00:00,1714.28,25.7
01/01/2019 2:00:00,1654.94,26.6
01/01/2019 3:00:00,1557.78,26.3
01/01/2019 4:00:00,1628.57,27.4
01/01/2019 5:00:00,1624.17,24.2
01/01/2019 6:00:00,1656.24,25.4
01/01/2019 7:00:00,1676.33,25.6
01/01/2019 8:00:00,1600.53,25.6
01/01/2019 9:00:00,1574.54,27.5
01/01/2019 10:00:00,1592.54,27.6
01/01/2019 11:00:00,1728.31,26.9
01/01/2019 12:00:00,1604.86,24.9
01/01/2019 13:00:00,1588.19,26.2
01/01/2019 14:00:00,1635.18,26.8
01/01/2019 15:00:00,1635.18,26.7
01/01/2019 16:00:00,1675.93,27.4
01/01/2019 17:00:00,1603.01,28.4
01/01/2019 18:00:00,1616.08,27
01/01/2019 19:00:00,1635.68,27.9
01/01/2019 20:00:00,1613.9,26.2
01/01/2019 21:00:00,1646.57,25.9
01/01/2019 22:00:00,1646.57,26
01/01/2019 23:00:00,1642.21,25.6
02/01/2019 0:00:00,1631.32,25.8
02/01/2019 1:00:00,1644.39,26.8
02/01/2019 2:00:00,1637.86,27.6
02/01/2019 3:00:00,1642.21,26.1
02/01/2019 4:00:00,1618.25,26.6
02/01/2019 5:00:00,1672.7,25.8
02/01/2019 6:00:00,1613.9,25.8
02/01/2019 7:00:00,1611.72,26.8
02/01/2019 8:00:00,1714.09,25.7
02/01/2019 9:00:00,1745.32,26.6
02/01/2019 10:00:00,1677.06,26.3
02/01/2019 11:00:00,1710.63,27.4
02/01/2019 12:00:00,1697.62,24.2
02/01/2019 13:00:00,1652.09,25.4
02/01/2019 14:00:00,1749.66,25.6
02/01/2019 15:00:00,1639.08,25.6
02/01/2019 16:00:00,1732.31,27.5
02/01/2019 17:00:00,1682.45,27.6
02/01/2019 18:00:00,1654.26,26.9
02/01/2019 19:00:00,1636.92,24.9
02/01/2019 20:00:00,1662.93,26.2
02/01/2019 21:00:00,1671.61,26.8
02/01/2019 22:00:00,1717.93,26.7
02/01/2019 23:00:00,1719.3,27.4
03/01/2019 0:00:00,1697.62,28.4
03/01/2019 1:00:00,1726.96,27
03/01/2019 2:00:00,1714.81,27.9
03/01/2019 3:00:00,1659.01,26.2
03/01/2019 4:00:00,1646.14,25.9
03/01/2019 5:00:00,1751.3,26
03/01/2019 6:00:00,1691.21,25.6
03/01/2019 7:00:00,1729.84,25.8
03/01/2019 8:00:00,1646.14,26.8
03/01/2019 9:00:00,1714.81,27.6
03/01/2019 10:00:00,1699.79,26.1
03/01/2019 11:00:00,1699.79,26.6
03/01/2019 12:00:00,1680.47,25.8
03/01/2019 13:00:00,1693.35,25.8
03/01/2019 14:00:00,1772.76,26.8
03/01/2019 15:00:00,1787.78,25.7
03/01/2019 16:00:00,1692.46,26.6
03/01/2019 17:00:00,1767.92,26.3
03/01/2019 18:00:00,1651.5,27.4
03/01/2019 19:00:00,1649.34,24.2
03/01/2019 20:00:00,1651.5,25.4
03/01/2019 21:00:00,1716.18,25.6
03/01/2019 22:00:00,1655.81,25.6
03/01/2019 23:00:00,1716.18,27.5
04/01/2019 0:00:00,1654.35,27.6
04/01/2019 1:00:00,1645.61,26.9
04/01/2019 2:00:00,1674.94,24.9
04/01/2019 3:00:00,1670.55,26.2
04/01/2019 4:00:00,1647.79,26.8
04/01/2019 5:00:00,1652.99,26.7
04/01/2019 6:00:00,1642.01,27.4
04/01/2019 7:00:00,1696.89,28.4
04/01/2019 8:00:00,1624.45,27
04/01/2019 9:00:00,1696.89,27.9
04/01/2019 10:00:00,1683.72,26.2
04/01/2019 11:00:00,1678.39,25.9
04/01/2019 12:00:00,1639.05,26
04/01/2019 13:00:00,1695.87,25.6
04/01/2019 14:00:00,1742.66,25.8
04/01/2019 15:00:00,1668.69,26.8
04/01/2019 16:00:00,1640.4,27.6
04/01/2019 17:00:00,1691.5,26.1
04/01/2019 18:00:00,1733.02,26.6
04/01/2019 19:00:00,1739.58,25.8
04/01/2019 20:00:00,1747.01,25.8
04/01/2019 21:00:00,1671.83,26.8
04/01/2019 22:00:00,1675.21,25.7
04/01/2019 23:00:00,1677.39,26.6
05/01/2019 0:00:00,1727.43,26.3
05/01/2019 1:00:00,1701.32,27.4
05/01/2019 2:00:00,1705.67,24.2
05/01/2019 3:00:00,1696.97,25.4
05/01/2019 4:00:00,1668.69,25.6
05/01/2019 5:00:00,1723.08,25.6
05/01/2019 6:00:00,1782.45,27.5
05/01/2019 7:00:00,1695.82,27.6
05/01/2019 8:00:00,1784.62,26.9
05/01/2019 9:00:00,1746.36,24.9
05/01/2019 10:00:00,1723.98,26.2
05/01/2019 11:00:00,1781.6,26.8
05/01/2019 12:00:00,1755.47,26.7
05/01/2019 13:00:00,1709.73,27.4
05/01/2019 14:00:00,1755.47,28.4
05/01/2019 15:00:00,1740.22,27
05/01/2019 16:00:00,1782.18,27.9
05/01/2019 17:00:00,1792.49,26.2
05/01/2019 18:00:00,1709.73,25.9
05/01/2019 19:00:00,1794.67,26
05/01/2019 20:00:00,1803.86,25.6
05/01/2019 21:00:00,1701.02,25.8
05/01/2019 22:00:00,1759.82,26.8
05/01/2019 23:00:00,1753.29,27.6
06/01/2019 0:00:00,1777.84,26.1
06/01/2019 1:00:00,1779.43,26.6
06/01/2019 2:00:00,1674.88,25.8
06/01/2019 3:00:00,1701.02,25.8
06/01/2019 4:00:00,1703.2,26.8
06/01/2019 5:00:00,1690.13,25.7
06/01/2019 6:00:00,1727.15,26.6
06/01/2019 7:00:00,1689.06,26.3
06/01/2019 8:00:00,1730.63,27.4
06/01/2019 9:00:00,1682.5,24.2
06/01/2019 10:00:00,1761.26,25.4
06/01/2019 11:00:00,1715.31,25.6
06/01/2019 12:00:00,1708.75,25.6
06/01/2019 13:00:00,1842.59,27.5
06/01/2019 14:00:00,1710.94,27.6
06/01/2019 15:00:00,1675.93,26.9
06/01/2019 16:00:00,1719.69,24.9
06/01/2019 17:00:00,1721.88,26.2
06/01/2019 18:00:00,1686.87,26.8
06/01/2019 19:00:00,1700,26.7
06/01/2019 20:00:00,1728.44,27.4
06/01/2019 21:00:00,1739.38,28.4
06/01/2019 22:00:00,1745.94,27
06/01/2019 23:00:00,1735,27.9
07/01/2019 0:00:00,1752.51,26.2
07/01/2019 1:00:00,1783.14,25.9
07/01/2019 2:00:00,1748.13,26
07/01/2019 3:00:00,1715.31,25.6
07/01/2019 4:00:00,1752.51,25.8
07/01/2019 5:00:00,1671.56,26.8
07/01/2019 6:00:00,1785.33,27.6
07/01/2019 7:00:00,1805.02,26.1
07/01/2019 8:00:00,1707.69,26.6
07/01/2019 9:00:00,1798.45,25.8
07/01/2019 10:00:00,1712.09,25.8
07/01/2019 11:00:00,1857.53,26.8
07/01/2019 12:00:00,1896.91,25.7
07/01/2019 13:00:00,1678.12,26.6
07/01/2019 14:00:00,1695.62,26.3
07/01/2019 15:00:00,1710.94,27.4
07/01/2019 16:00:00,1721.88,24.2
07/01/2019 17:00:00,1842.21,25.4
07/01/2019 18:00:00,1861.9,25.6
07/01/2019 19:00:00,1712.09,25.6
07/01/2019 20:00:00,1721.88,27.5
07/01/2019 21:00:00,1673.74,27.6
07/01/2019 22:00:00,1701.1,26.9
07/01/2019 23:00:00,1745.05,24.9
08/01/2019 0:00:00,1760.06,26.2
08/01/2019 1:00:00,1679.56,26.8
08/01/2019 2:00:00,1696.97,26.7
08/01/2019 3:00:00,1829.68,27.4
08/01/2019 4:00:00,1801.4,28.4
08/01/2019 5:00:00,1788.34,27
08/01/2019 6:00:00,1705.67,27.9
08/01/2019 7:00:00,1783.99,26.2
08/01/2019 8:00:00,1764.41,25.9
08/01/2019 9:00:00,1712.2,26
08/01/2019 10:00:00,1775.29,25.6
08/01/2019 11:00:00,1666.51,25.8
08/01/2019 12:00:00,1746.13,26.8
08/01/2019 13:00:00,1674.02,27.6
08/01/2019 14:00:00,1698.06,26.1
08/01/2019 15:00:00,1671.83,26.6
08/01/2019 16:00:00,1733.02,25.8
08/01/2019 17:00:00,1691.5,25.8
08/01/2019 18:00:00,1773.11,26.8
08/01/2019 19:00:00,1741.76,25.7
08/01/2019 20:00:00,1725.25,26.6
08/01/2019 21:00:00,1690.44,26.3
08/01/2019 22:00:00,1668.69,27.4
08/01/2019 23:00:00,1710.02,24.2
09/01/2019 0:00:00,1713.35,25.4
09/01/2019 1:00:00,1707.85,25.6
09/01/2019 2:00:00,1731.78,25.6
09/01/2019 3:00:00,1680.57,27.5
09/01/2019 4:00:00,1652.16,27.6
09/01/2019 5:00:00,1751.36,26.9
09/01/2019 6:00:00,1726.47,24.9
09/01/2019 7:00:00,1658.72,26.2
09/01/2019 8:00:00,1717.72,26.8
09/01/2019 9:00:00,1759.25,26.7
09/01/2019 10:00:00,1702.43,27.4
09/01/2019 11:00:00,1660.9,28.4
09/01/2019 12:00:00,1698.06,27
09/01/2019 13:00:00,1796.4,27.9
09/01/2019 14:00:00,1652.16,26.2
09/01/2019 15:00:00,1785.47,25.9
09/01/2019 16:00:00,1745.18,26
09/01/2019 17:00:00,1783.29,25.6
09/01/2019 18:00:00,1721.04,25.8
09/01/2019 19:00:00,1741.95,26.8
09/01/2019 20:00:00,1750.77,27.6
09/01/2019 21:00:00,1799.28,26.1
09/01/2019 22:00:00,1664.78,26.6
09/01/2019 23:00:00,1662.57,25.8
10/01/2019 0:00:00,1781.64,25.8
10/01/2019 1:00:00,1741.95,26.8
10/01/2019 2:00:00,1783.85,25.7
10/01/2019 3:00:00,1730.93,26.6
10/01/2019 4:00:00,1793.48,26.3
10/01/2019 5:00:00,1789.09,27.4
10/01/2019 6:00:00,1751.77,24.2
10/01/2019 7:00:00,1688.11,25.4
10/01/2019 8:00:00,1681.52,25.6
10/01/2019 9:00:00,1674.94,25.6
10/01/2019 10:00:00,1670.55,27.5
10/01/2019 11:00:00,1677.13,27.6
10/01/2019 12:00:00,1683.72,26.9
10/01/2019 13:00:00,1767.14,24.9
10/01/2019 14:00:00,1721.04,26.2
10/01/2019 15:00:00,1723.23,26.8
10/01/2019 16:00:00,1694.69,26.7
10/01/2019 17:00:00,1749.57,27.4
10/01/2019 18:00:00,1681.52,28.4
10/01/2019 19:00:00,1716.65,27
10/01/2019 20:00:00,1763.62,27.9
10/01/2019 21:00:00,1767.14,26.2
10/01/2019 22:00:00,1721.04,25.9
10/01/2019 23:00:00,1688.11,26
11/01/2019 0:00:00,1689.31,25.6
11/01/2019 1:00:00,1700.24,25.8
11/01/2019 2:00:00,1711.17,26.8
11/01/2019 3:00:00,1674.02,27.6
11/01/2019 4:00:00,1678.39,26.1
11/01/2019 5:00:00,1691.5,26.6
11/01/2019 6:00:00,1698.06,25.8
11/01/2019 7:00:00,1737.39,25.8
11/01/2019 8:00:00,1708.98,26.8
11/01/2019 9:00:00,1722.1,25.7
11/01/2019 10:00:00,1687.13,26.6
11/01/2019 11:00:00,1713.35,26.3
11/01/2019 12:00:00,1710.02,27.4
11/01/2019 13:00:00,1798.58,24.2
11/01/2019 14:00:00,1671.83,25.4
11/01/2019 15:00:00,1853.22,25.6
11/01/2019 16:00:00,1783.99,25.6
11/01/2019 17:00:00,1738.3,27.5
11/01/2019 18:00:00,1827.5,27.6
11/01/2019 19:00:00,1818.8,26.9
11/01/2019 20:00:00,1712.2,24.9
11/01/2019 21:00:00,1790.52,26.2
11/01/2019 22:00:00,1707.85,26.8
11/01/2019 23:00:00,1838.76,26.7
12/01/2019 0:00:00,1715.31,27.4
12/01/2019 1:00:00,1806.28,28.4
12/01/2019 2:00:00,1742.66,27
12/01/2019 3:00:00,1721.81,27.9
12/01/2019 4:00:00,1791.12,26.2
12/01/2019 5:00:00,1795.45,25.9
12/01/2019 6:00:00,1732.64,26
12/01/2019 7:00:00,1842.59,25.6
12/01/2019 8:00:00,1836.05,25.8
12/01/2019 9:00:00,1868.72,26.8
12/01/2019 10:00:00,1737.74,27.6
12/01/2019 11:00:00,1888.42,26.1
12/01/2019 12:00:00,1744.86,26.6
12/01/2019 13:00:00,1738.42,25.8
12/01/2019 14:00:00,1738.42,25.8
12/01/2019 15:00:00,1749.15,26.8
12/01/2019 16:00:00,1807.39,25.7
12/01/2019 17:00:00,1838.76,26.6
12/01/2019 18:00:00,1724.8,26.3
12/01/2019 19:00:00,1802.42,27.4
12/01/2019 20:00:00,1752.83,24.2
12/01/2019 21:00:00,1711.86,25.4
12/01/2019 22:00:00,1703.24,25.6
12/01/2019 23:00:00,1719.65,25.6
13/01/2019 0:00:00,1708.82,27.5
13/01/2019 1:00:00,1723.98,27.6
13/01/2019 2:00:00,1788.95,26.9
13/01/2019 3:00:00,1765.13,24.9
13/01/2019 4:00:00,1741.3,26.2
13/01/2019 5:00:00,1745.63,26.8
13/01/2019 6:00:00,1739.14,26.7
13/01/2019 7:00:00,1832.27,27.4
13/01/2019 8:00:00,1794.87,28.4
13/01/2019 9:00:00,1783.99,27
13/01/2019 10:00:00,1714.37,27.9
13/01/2019 11:00:00,1714.37,26.2
13/01/2019 12:00:00,1733.95,25.9
13/01/2019 13:00:00,1756.46,26
13/01/2019 14:00:00,1721.81,25.6
13/01/2019 15:00:00,1693.66,25.8
13/01/2019 16:00:00,1747.8,26.8
13/01/2019 17:00:00,1929.73,27.6
13/01/2019 18:00:00,1736.13,26.1
13/01/2019 19:00:00,1755.71,26.6
13/01/2019 20:00:00,1739.14,25.8
13/01/2019 21:00:00,1806.28,25.8
13/01/2019 22:00:00,1756.46,26.8
13/01/2019 23:00:00,1731.78,25.7
14/01/2019 0:00:00,1850.96,26.6
14/01/2019 1:00:00,1812.77,26.3
14/01/2019 2:00:00,1745.63,27.4
14/01/2019 3:00:00,1745.63,24.2
14/01/2019 4:00:00,1938.48,25.4
14/01/2019 5:00:00,1745.63,25.6
14/01/2019 6:00:00,1749.97,25.6
14/01/2019 7:00:00,1823.6,27.5
14/01/2019 8:00:00,1940.67,27.6
14/01/2019 9:00:00,1817.11,26.9
14/01/2019 10:00:00,1899.1,24.9
14/01/2019 11:00:00,1799.78,26.2
14/01/2019 12:00:00,1953.79,26.8
14/01/2019 13:00:00,1747.8,26.7
14/01/2019 14:00:00,1884.25,27.4
14/01/2019 15:00:00,1773.79,28.4
14/01/2019 16:00:00,1730.47,27
14/01/2019 17:00:00,1797.61,27.9
14/01/2019 18:00:00,1754.3,26.2
14/01/2019 19:00:00,1843.1,25.9
14/01/2019 20:00:00,1756.46,26
14/01/2019 21:00:00,1821.44,25.6
14/01/2019 22:00:00,1819.27,25.8
14/01/2019 23:00:00,1784.62,26.8
15/01/2019 0:00:00,1749.97,27.6
15/01/2019 1:00:00,1736.13,26.1
15/01/2019 2:00:00,1762.24,26.6
15/01/2019 3:00:00,1872.84,25.8
15/01/2019 4:00:00,1739.14,25.8
15/01/2019 5:00:00,1936.29,26.8
15/01/2019 6:00:00,1894.72,25.7
15/01/2019 7:00:00,1920.98,26.6
15/01/2019 8:00:00,1990.99,26.3
15/01/2019 9:00:00,1805.02,27.4
15/01/2019 10:00:00,1825.77,24.2
15/01/2019 11:00:00,1775.29,25.4
15/01/2019 12:00:00,1766.59,25.6
15/01/2019 13:00:00,1901.1,25.6
15/01/2019 14:00:00,1842.73,27.5
15/01/2019 15:00:00,1866.66,27.6
15/01/2019 16:00:00,1796.4,26.9
15/01/2019 17:00:00,1757.88,24.9
15/01/2019 18:00:00,1942.86,26.2
15/01/2019 19:00:00,1792.69,26.8
15/01/2019 20:00:00,1916.48,26.7
15/01/2019 21:00:00,1775.29,27.4
15/01/2019 22:00:00,1777.47,28.4
15/01/2019 23:00:00,1816.07,27
16/01/2019 0:00:00,1832.99,27.9
16/01/2019 1:00:00,1802.26,26.2
16/01/2019 2:00:00,1857.14,25.9
16/01/2019 3:00:00,1806.65,26
16/01/2019 4:00:00,1811.04,25.6
16/01/2019 5:00:00,1830.8,25.8
16/01/2019 6:00:00,1747.38,26.8
16/01/2019 7:00:00,1864.15,27.6
16/01/2019 8:00:00,1805.14,26.1
16/01/2019 9:00:00,1851.03,26.6
16/01/2019 10:00:00,1819.82,25.8
16/01/2019 11:00:00,1808.84,25.8
16/01/2019 12:00:00,1819.82,26.8
16/01/2019 13:00:00,1721.04,25.7
16/01/2019 14:00:00,1800.06,26.6
16/01/2019 15:00:00,1771.53,26.3
16/01/2019 16:00:00,1760.55,27.4
16/01/2019 17:00:00,1790.44,24.2
16/01/2019 18:00:00,1676.51,25.4
16/01/2019 19:00:00,1803.69,25.6
16/01/2019 20:00:00,1854.47,25.6
16/01/2019 21:00:00,1894.21,27.5
16/01/2019 22:00:00,1829.52,27.6
16/01/2019 23:00:00,1860.57,26.9
17/01/2019 0:00:00,1820.65,24.9
17/01/2019 1:00:00,1789.6,26.2
17/01/2019 2:00:00,1811.78,26.8
17/01/2019 3:00:00,1767.43,26.7
17/01/2019 4:00:00,1786.03,27.4
17/01/2019 5:00:00,1760.77,28.4
17/01/2019 6:00:00,1756.04,27
17/01/2019 7:00:00,1846.15,27.9
17/01/2019 8:00:00,1767.03,26.2
17/01/2019 9:00:00,1736.26,25.9
17/01/2019 10:00:00,1773.62,26
17/01/2019 11:00:00,1791.21,25.6
17/01/2019 12:00:00,1929.67,25.8
17/01/2019 13:00:00,1764.83,26.8
17/01/2019 14:00:00,1927.47,27.6
17/01/2019 15:00:00,1854.94,26.1
17/01/2019 16:00:00,1824.17,26.6
17/01/2019 17:00:00,1854.94,25.8
17/01/2019 18:00:00,1808.79,25.8
17/01/2019 19:00:00,1752.91,26.8
17/01/2019 20:00:00,1702.14,25.7
17/01/2019 21:00:00,1737.46,26.6
17/01/2019 22:00:00,1803.69,26.3
17/01/2019 23:00:00,1867.71,27.4
18/01/2019 0:00:00,1785.47,24.2
18/01/2019 1:00:00,1782.5,25.4
18/01/2019 2:00:00,1740.79,25.6
18/01/2019 3:00:00,1761.43,25.6
18/01/2019 4:00:00,1770.17,27.5
18/01/2019 5:00:00,1764.94,27.6
18/01/2019 6:00:00,1842.29,26.9
18/01/2019 7:00:00,1781.1,24.9
18/01/2019 8:00:00,1695.87,26.2
18/01/2019 9:00:00,1717.72,26.8
18/01/2019 10:00:00,1763.62,26.7
18/01/2019 11:00:00,1754.88,27.4
18/01/2019 12:00:00,1698.06,28.4
18/01/2019 13:00:00,1725.81,27
18/01/2019 14:00:00,1598.65,27.9
18/01/2019 15:00:00,1647.76,26.2
18/01/2019 16:00:00,1669.44,25.9
18/01/2019 17:00:00,1675.94,26
18/01/2019 18:00:00,1707.55,25.6
18/01/2019 19:00:00,1608.38,25.8
18/01/2019 20:00:00,1639.51,26.8
18/01/2019 21:00:00,1649.34,27.6
18/01/2019 22:00:00,1650.34,26.1
18/01/2019 23:00:00,1625.62,26.6
19/01/2019 0:00:00,1624.35,25.8
19/01/2019 1:00:00,1651.5,25.8
19/01/2019 2:00:00,1626.52,26.8
19/01/2019 3:00:00,1680.66,25.7
19/01/2019 4:00:00,1642.58,26.6
19/01/2019 5:00:00,1642.21,26.3
19/01/2019 6:00:00,1620.43,27.4
19/01/2019 7:00:00,1663.99,24.2
19/01/2019 8:00:00,1646.57,25.4
19/01/2019 9:00:00,1642.21,25.6
19/01/2019 10:00:00,1620.43,25.6
19/01/2019 11:00:00,1625.61,27.5
19/01/2019 12:00:00,1664.99,27.6
19/01/2019 13:00:00,1686.87,26.9
19/01/2019 14:00:00,1658.43,24.9
19/01/2019 15:00:00,1645.3,26.2
19/01/2019 16:00:00,1634.36,26.8
19/01/2019 17:00:00,1656.24,26.7
19/01/2019 18:00:00,1668.35,27.4
19/01/2019 19:00:00,1644.39,28.4
19/01/2019 20:00:00,1655.28,27
19/01/2019 21:00:00,1694.48,27.9
19/01/2019 22:00:00,1690.13,26.2
19/01/2019 23:00:00,1696.66,25.9
20/01/2019 0:00:00,1683.59,26
20/01/2019 1:00:00,1642.21,25.6
20/01/2019 2:00:00,1655.28,25.8
20/01/2019 3:00:00,1685.77,26.8
20/01/2019 4:00:00,1683.59,27.6
20/01/2019 5:00:00,1748.93,26.1
20/01/2019 6:00:00,1674.88,26.6
20/01/2019 7:00:00,1730.14,25.8
20/01/2019 8:00:00,1703.2,25.8
20/01/2019 9:00:00,1671.61,26.8
20/01/2019 10:00:00,1680.28,25.7
20/01/2019 11:00:00,1701.96,26.6
20/01/2019 12:00:00,1677.37,26.3
20/01/2019 13:00:00,1724.8,27.4
20/01/2019 14:00:00,1700.15,24.2
20/01/2019 15:00:00,1688.15,25.4
20/01/2019 16:00:00,1684.99,25.6
20/01/2019 17:00:00,1690.3,25.6
20/01/2019 18:00:00,1650.34,27.5
20/01/2019 19:00:00,1716.18,27.6
20/01/2019 20:00:00,1744.2,26.9
20/01/2019 21:00:00,1690.3,24.9
20/01/2019 22:00:00,1670.9,26.2
20/01/2019 23:00:00,1680.47,26.8
21/01/2019 0:00:00,1647.18,26.7
21/01/2019 1:00:00,1686.91,27.4
21/01/2019 2:00:00,1653.65,28.4
21/01/2019 3:00:00,1718.33,27
21/01/2019 4:00:00,1793.79,27.9
21/01/2019 5:00:00,1668.74,26.2
21/01/2019 6:00:00,1649.34,25.9
21/01/2019 7:00:00,1660.12,26
21/01/2019 8:00:00,1680.47,25.6
21/01/2019 9:00:00,1682.62,25.8
21/01/2019 10:00:00,1677.37,26.8
21/01/2019 11:00:00,1690.3,27.6
21/01/2019 12:00:00,1676.33,26.1
21/01/2019 13:00:00,1682.83,26.6
21/01/2019 14:00:00,1690.44,25.8
21/01/2019 15:00:00,1657.81,25.8
21/01/2019 16:00:00,1699.14,26.8
21/01/2019 17:00:00,1681.74,25.7
21/01/2019 18:00:00,1677.39,26.6
21/01/2019 19:00:00,1699.14,26.3
21/01/2019 20:00:00,1664.33,27.4
21/01/2019 21:00:00,1659.98,24.2
21/01/2019 22:00:00,1668.69,25.4
21/01/2019 23:00:00,1743.47,25.6